TypeQuestion;ID;Text;Options
Option;Visibility;Could you watch the video? (You didn't receive an error message);[Yes,No]
Option;PhysicalAttractiveness;Assess the <strong>physical attractiveness</strong> of the person in the video.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Expressiveness;Assess the <strong>expressiveness</strong> of the person, whether he or she is energetic, intense, has an <strong>active body gesture</strong>.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Comfortable;Assess if you think that the person is <strong>comfortable in front of the camera</strong>.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;VoiceAttractiveness;Assess the person's <strong>voice attractiveness </strong> of the person in the video.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Kindness;Assess the <strong>kindness</strong> of the person, understanding kindness as a person that care about others, gentle, friendly and generous.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Eloquent;Assess whether the person is <strong>eloquent and articulate</strong> -- whether he or she expresses her/his opinion or feelings well.;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Emotion;What <strong>emotion</strong> do you think he/she is expressing?;[Anger,Disgust,Fear,Happy,Neutral,Sad,Surprise,None]
Option;Authenticity;Do you <strong>trust in the transmitted emotion</strong>? Does it seems credible, <strong>authentic</strong>?;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
Option;Trust;Would you <strong>trust this person</strong> after seeing this video?;[-3 (Nothing),-2,-1,0,1,2,3 (A lot)]
MultiOption;ReasonTrust;What would <strong>make you trust or distrust</strong> this person?;[Physical Appariency,Voice,Expressiveness,Comfort in front of the camera,Kindness,Eloquence,Emotion,Other]
